"subject","dom_key","nondom_key","trial","transition_step","condition","total_runtime_mins","frame_count","coherence","resp_key","rt","accuracy"
939681,"j","f",13,40,"dom",0.313424316666667,616,0.833333333333333,"j",0.667025,1
939681,"j","f",14,45,"dom",0.328452333333333,669,0.9375,"j",0.751404,1
939681,"j","f",15,44,"dom",0.341799233333333,716,0.916666666666667,"j",0.734835,1
939681,"j","f",16,48,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",17,38,"dom",0.367375166666667,806,0.791666666666667,"j",0.634328,1
939681,"j","f",18,38,"dom",0.380993866666667,854,0.791666666666667,"j",0.634033,1
939681,"j","f",19,38,"dom",0.394633583333333,902,0.791666666666667,"j",0.635379,1
939681,"j","f",20,37,"dom",0.407967683333333,949,0.770833333333333,"j",0.618104,1
939681,"j","f",21,36,"dom",0.42131935,996,0.75,"j",0.601116,1
939681,"j","f",22,36,"dom",0.4349504,1044,0.75,"j",0.601935,1
939681,"j","f",23,34,"dom",0.4480175,1090,0.708333333333333,"j",0.567877,1
939681,"j","f",24,35,"dom",0.4619229,1139,0.729166666666667,"j",0.584924,1
939681,"j","f",25,36,"dom",0.4758256,1188,0.75,"j",0.601167,1
939681,"j","f",26,35,"dom",0.48916805,1235,0.729166666666667,"j",0.584617,1
939681,"j","f",27,42,"dom",0.5047354,1290,0.875,"j",0.700117,1
939681,"j","f",28,35,"dom",0.516417333333333,1331,0.729166666666667,"j",0.583954,1
939681,"j","f",29,35,"dom",0.530052383333333,1379,0.729166666666667,"j",0.584179,1
939681,"j","f",30,36,"dom",0.543941733333333,1428,0.75,"j",0.600439,1
939681,"j","f",31,38,"dom",0.5581246,1478,0.791666666666667,"j",0.634048,1
939681,"j","f",32,33,"dom",0.570358416666667,1521,0.6875,"j",0.550957,1
939681,"j","f",33,31,"dom",0.583430933333333,1567,0.645833333333333,"j",0.517306,1
939681,"j","f",34,29,"dom",0.596530483333333,1613,0.604166666666667,"j",0.485966,1
939681,"j","f",35,27,"nondom",0.609583166666667,1659,0.5625,"j",0.451138,0
939681,"j","f",36,43,"dom",0.627650583333333,1723,0.895833333333333,"j",0.717164,1
939681,"j","f",37,39,"dom",0.64016915,1767,0.8125,"j",0.652146,1
939681,"j","f",38,42,"dom",0.6546323,1818,0.875,"j",0.701841,1
939681,"j","f",39,48,"nondom",NA,NA,NA,NA,NA,1
939681,"j","f",40,41,"dom",0.916022383333333,1913,0.854166666666667,"j",0.68477,1
939681,"j","f",41,36,"dom",0.928252033333333,1956,0.75,"j",0.600821,1
939681,"j","f",42,37,"dom",0.942156483333333,2005,0.770833333333333,"j",0.618204,1
939681,"j","f",43,35,"dom",0.955292816666667,2051,0.729166666666667,"j",0.588923,1
939681,"j","f",44,35,"dom",0.968841083333333,2099,0.729166666666667,"j",0.583974,1
939681,"j","f",45,39,"dom",0.98359265,2151,0.8125,"j",0.652049,1
939681,"j","f",46,40,"dom",0.99748,2200,0.833333333333333,"j",0.667294,1
939681,"j","f",47,46,"dom",1.01278143333333,2254,0.958333333333333,"j",0.768136,1
939681,"j","f",48,39,"dom",1.02446945,2295,0.8125,"j",0.651297,1
939681,"j","f",49,41,"dom",1.03865668333333,2345,0.854166666666667,"j",0.684968,1
939681,"j","f",50,38,"dom",1.05143878333333,2390,0.791666666666667,"j",0.63483,1
939681,"j","f",51,36,"dom",1.06450743333333,2436,0.75,"j",0.601148,1
939681,"j","f",52,38,"dom",1.07868911666667,2486,0.791666666666667,"j",0.633973,1
939681,"j","f",53,44,"dom",1.09399206666667,2540,0.916666666666667,"j",0.735038,1
939681,"j","f",54,40,"dom",1.10649706666667,2584,0.833333333333333,"j",0.667327,1
939681,"j","f",55,37,"dom",1.11929575,2629,0.770833333333333,"j",0.617829,1
